system:index,threshold_type,dfo_centroid_x,dfo_centroid_y,dfo_cause,gfd_area
DFO_2103_From_20021213_to_20021214,std,4.145883,43.730782,Heavy rain,725.22
DFO_2104_From_20021214_to_20021224,std,-122.478319,38.939731,Heavy rain,3539.45
DFO_2106_From_20021215_to_20021220,otsu,100.517101,0.977528,Heavy rain,830.27
DFO_2115_From_20030101_to_20030106,std,-92.620622,31.833155,Heavy rain,13789.06
DFO_2116_From_20030101_to_20030106,std,-0.543564,51.264587,Heavy rain,4925.27
DFO_2117_From_20030101_to_20030108,otsu,5.625135,49.207412,Heavy rain,5305.1
DFO_2119_From_20030101_to_20030217,std,38.874709,-14.766118,Heavy rain,2012.48
DFO_2120_From_20030103_to_20030108,std,-64.944989,-16.48569,Heavy rain,406.16
DFO_2127_From_20030114_to_20030206,std,113.005128,-2.428747,Heavy rain,126.29
DFO_2130_From_20030113_to_20030131,std,-60.978623,-29.455848,Heavy rain,8334.06
DFO_2134_From_20030120_to_20030210,otsu,102.893883,2.467598,Heavy rain,1716.08
DFO_2136_From_20030122_to_20030123,std,-2.498648,57.049015,Heavy rain,649.37
DFO_2137_From_20030122_to_20030306,std,139.396536,-17.930109,Heavy rain,5354.18
DFO_2138_From_20030123_to_20030210,otsu,-70.432286,-13.374411,Heavy rain,19134.11
DFO_2140_From_20030125_to_20030127,std,15.920488,41.347305,Heavy rain,1013.22
DFO_2143_From_20030126_to_20030204,std,118.21192,-22.496397,Heavy rain,3390.53
DFO_2145_From_20030128_to_20030210,std,-69.309972,-15.87345,Heavy rain,3543.55
DFO_2148_From_20030130_to_20030209,std,107.641486,-7.046763,Heavy rain,656.64
DFO_2152_From_20030205_to_20030212,std,150.372737,-23.771908,Heavy rain,227.4
DFO_2154_From_20030211_to_20030214,std,146.722097,-22.278126,Heavy rain,391.69
DFO_2158_From_20030216_to_20030217,otsu,107.603981,-6.973194,Heavy rain,478.05
DFO_2160_From_20030216_to_20030222,std,68.067654,27.524729,Heavy rain,7368.21
DFO_2161_From_20030115_to_20030701,std,21.700514,-12.176378,Heavy rain,24966.63
DFO_2162_From_20030206_to_20030220,otsu,18.014563,-10.439194,Heavy rain,13291.46
DFO_2167_From_20030222_to_20030317,std,-90.065158,31.463349,Heavy rain,13490.94
DFO_2169_From_20030205_to_20030213,std,-1.165927,43.302177,Heavy rain,1002.68
